City_ID,City,Country,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Current Description
78,Cherskiy,RU,68.75,161.3,49.21,62,4,11.95,clear sky
79,Nikolskoye,RU,59.7035,30.7861,69.78,69,93,6.51,overcast clouds
80,Norman Wells,CA,65.282,-126.8329,46.44,87,75,4.61,broken clouds
81,Moron,AR,-34.6534,-58.6198,55.96,98,100,9.51,light rain
82,Talcahuano,CL,-36.7167,-73.1167,53.28,87,100,10.36,overcast clouds
83,Ketchikan,US,55.3422,-131.6461,57.67,100,100,4.61,mist
84,Bredasdorp,ZA,-34.5322,20.0403,63.09,44,0,11.07,clear sky
85,Puerto Escondido,MX,15.85,-97.0667,76.03,78,75,6.91,broken clouds
86,Tasiilaq,GL,65.6145,-37.6368,46.56,85,98,1.16,overcast clouds
87,Pula,HR,44.8683,13.8481,93.76,31,0,8.05,clear sky
88,Maizuru,JP,35.45,135.3333,77.31,92,76,3.31,broken clouds
89,Egvekinot,RU,66.3167,-179.1667,37.92,72,99,11.21,overcast clouds
90,Oxapampa,PE,-10.5775,-75.4017,54.73,95,100,3.44,overcast clouds
91,Georgetown,MY,5.4112,100.3354,84.13,92,20,3.44,thunderstorm
92,Kununurra,AU,-15.7667,128.7333,67.98,52,0,0.0,clear sky
93,Fortuna,US,40.5982,-124.1573,54.93,90,17,3.2,few clouds
94,Lompoc,US,34.6391,-120.4579,57.56,89,100,11.01,mist
95,Nanortalik,GL,60.1432,-45.2371,44.74,88,100,6.08,overcast clouds
96,Acajutla,SV,13.5928,-89.8275,76.44,78,88,5.37,overcast clouds
97,Clyde River,CA,70.4692,-68.5914,43.03,87,100,8.05,overcast clouds
98,Kapoeta,SS,4.7717,33.5903,93.85,28,75,15.57,broken clouds
99,Portland,US,45.5234,-122.6762,70.38,73,0,0.0,clear sky
100,Yerbogachen,RU,61.2767,108.0108,74.82,65,97,5.44,overcast clouds
101,Victoria,HK,22.2855,114.1577,91.45,73,16,8.99,few clouds
102,Tanda,IN,26.55,82.65,95.4,44,59,13.96,broken clouds
103,Pangnirtung,CA,66.1451,-65.7125,49.64,74,31,2.91,scattered clouds
104,Kapaa,US,22.0752,-159.319,77.32,83,40,14.97,scattered clouds
105,College,US,64.8569,-147.8028,57.58,63,75,9.22,broken clouds
106,Sur,OM,22.5667,59.5289,93.52,52,100,11.72,light rain
107,Kainantu,PG,-6.2887,145.8655,58.93,93,40,1.95,scattered clouds
108,Port Macquarie,AU,-31.4333,152.9167,52.9,83,53,6.29,broken clouds
109,Concordia,AR,-31.393,-58.0209,66.27,88,75,11.99,broken clouds
110,Correia Pinto,BR,-27.5847,-50.3611,56.66,93,98,1.19,overcast clouds
